Date : 2023-03-08 22:29:34
Directory : /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi
Total : 270 files,  30643 codes, 1145 comments, 1872 blanks, all 33660 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/utiles/local_notification.dart                                                                                         | Dart       |         70 |          1 |          6 |         77 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/utiles/math_utils.dart                                                                                                 | Dart       |         86 |          6 |          8 |        100 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/add_your_info/add_your_info.dart                                                                                 | Dart       |        314 |          2 |         10 |        326 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/allViews/all_views.dart                                                                                          | Dart       |        120 |          0 |          8 |        128 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/constants/colors.dart                                                                        | Dart       |         20 |          0 |          2 |         22 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/enum/calling_status.dart                                                                     | Dart       |          1 |          0 |          1 |          2 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/screens/one_to_one_meeting_screen.dart                                                       | Dart       |        247 |         20 |         23 |        290 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/api.dart                                                                               | Dart       |         62 |          6 |         16 |         84 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/keys.dart                                                                              | Dart       |          3 |          0 |          1 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/meeting_methods.dart                                                                   | Dart       |        108 |          3 |         10 |        121 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/spacer.dart                                                                            | Dart       |         17 |          2 |          5 |         24 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/toast.dart                                                                             | Dart       |         29 |          0 |          4 |         33 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/joining/waiting_to_join.dart                                                  | Dart       |         27 |          0 |          3 |         30 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/meeting_controls/meeting_action_one_to_one.dart                               | Dart       |        187 |          6 |         14 |        207 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/participant/participant_list.dart                                             | Dart       |         85 |          0 |         10 |         95 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/participant/participant_list_item.dart                                        | Dart       |        107 |          1 |         11 |        119 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/stats/call_stats.dart                                                         | Dart       |        125 |          1 |         11 |        137 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/stats/call_stats_bottom_sheet.dart                                            | Dart       |        263 |          1 |         14 |        278 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/one-to-one/one_to_one_meeting_container.dart                                         | Dart       |        275 |          7 |         19 |        301 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/one-to-one/participant_view.dart                                                     | Dart       |        111 |          0 |          4 |        115 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/models/chat_message.dart                                                                                   | Dart       |         74 |          0 |         14 |         88 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/services/database.dart                                                                                     | Dart       |        138 |          2 |         18 |        158 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/views/chat.dart                                                                                            | Dart       |        356 |          7 |         22 |        385 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/views/chatrooms.dart                                                                                       | Dart       |        133 |          1 |         11 |        145 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/views/empty_chat.dart                                                                                      | Dart       |         25 |          1 |          3 |         29 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/block_user.dart                                                                                     | Dart       |         81 |          0 |          7 |         88 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/chat_bubble.dart                                                                                    | Dart       |        227 |         13 |         11 |        251 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/media_message.dart                                                                                  | Dart       |         44 |          0 |          4 |         48 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/message_bar.dart                                                                                    | Dart       |        142 |         33 |          5 |        180 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/message_tile.dart                                                                                   | Dart       |         82 |          0 |          7 |         89 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/name_lastmessage_chat.dart                                                                          | Dart       |        222 |         10 |         13 |        245 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/report_user.dart                                                                                    | Dart       |         61 |          0 |          6 |         67 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/un_block_user.dart                                                                                  | Dart       |         36 |          0 |          5 |         41 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/logic.dart                                                                                         | Dart       |          6 |          0 |          3 |          9 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/select_dates.dart                                                                                  | Dart       |        113 |          0 |          7 |        120 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/view.dart                                                                                          | Dart       |        547 |          0 |         12 |        559 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/widgets/bottom_sheet_for_add_phone_number.dart                                                     | Dart       |        217 |          3 |         15 |        235 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/widgets/bottom_sheet_for_guest.dart                                                                | Dart       |        100 |          0 |          5 |        105 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/widgets/confirm_number_screen.dart                                                                 | Dart       |        191 |          6 |          8 |        205 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/explore.dart                                                                                             | Dart       |        277 |          1 |         12 |        290 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/mapsview.dart                                                                                            | Dart       |        242 |          1 |         18 |        261 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/explore_item.dart                                                                                | Dart       |        337 |         26 |         34 |        397 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/filters.dart                                                                             | Dart       |        202 |         10 |          7 |        219 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/accessibility_features_filters.dart                                              | Dart       |         70 |         30 |          5 |        105 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/amenities_filter.dart                                                            | Dart       |        167 |          0 |          9 |        176 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/booking_options.dart                                                             | Dart       |         52 |          0 |          4 |         56 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/host_language.dart                                                               | Dart       |         70 |         28 |          5 |        103 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/price_range.dart                                                                 | Dart       |        161 |          0 |          8 |        169 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/property_type.dart                                                               | Dart       |         99 |          2 |          5 |        106 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/rooms_beds.dart                                                                  | Dart       |        296 |          3 |          6 |        305 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/top_tier_stays.dart                                                              | Dart       |         58 |          0 |          5 |         63 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/filters/widgets/type_of_place.dart                                                               | Dart       |         79 |          0 |          3 |         82 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/widgets/tabs.dart                                                                                        | Dart       |        153 |          0 |          6 |        159 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/explore_details.dart                                                                              | Dart       |        658 |         25 |         18 |        701 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/describe_how_inaccurate.dart                                                       | Dart       |        103 |          0 |          5 |        108 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/offensive.dart                                                                     | Dart       |        161 |          0 |          8 |        169 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/offensive/abusive_hostile.dart                                                     | Dart       |        106 |          0 |          5 |        111 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/offensive/discriminatory.dart                                                      | Dart       |        106 |          0 |          5 |        111 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/offensive/inappropriate.dart                                                       | Dart       |        106 |          0 |          5 |        111 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/somethingelse.dart                                                                 | Dart       |        181 |          0 |          8 |        189 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/we_got_your_report.dart                                                            | Dart       |         86 |          0 |          5 |         91 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/why_reporting.dart                                                                 | Dart       |        182 |          0 |          8 |        190 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/why_scam.dart                                                                      | Dart       |        209 |          0 |          8 |        217 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/why_scam/how_did_ask_for_pay.dart                                                  | Dart       |        298 |          0 |         22 |        320 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/why_scam/what_is_misleading.dart                                                   | Dart       |        354 |          0 |         22 |        376 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/why_scam/where_did_share_contact.dart                                              | Dart       |        266 |          0 |         22 |        288 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/report_listing/why_scam/where_did_they_advertise.dart                                             | Dart       |        260 |          0 |         22 |        282 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/bottom_sheet.dart                                                                         | Dart       |          0 |        105 |          5 |        110 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/bottombar_reservebutton.dart                                                              | Dart       |         95 |          1 |          5 |        101 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/cancellation_option.dart                                                                  | Dart       |          0 |         45 |          3 |         48 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/cancellation_policy.dart                                                                  | Dart       |         46 |         55 |          4 |        105 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/contact_host_button.dart                                                                  | Dart       |         32 |          0 |          4 |         36 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/explore_detail_animities_listtile.dart                                                    | Dart       |         37 |          0 |          2 |         39 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/house_rules_detail.dart                                                                   | Dart       |         59 |          0 |          3 |         62 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/image_slider.dart                                                                         | Dart       |        143 |          1 |         11 |        155 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/learn_more_cover.dart                                                                     | Dart       |        121 |          4 |         10 |        135 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/reviews.dart                                                                              | Dart       |         74 |          0 |          5 |         79 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/safety_property.dart                                                                      | Dart       |        116 |          0 |          4 |        120 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/show_all_animities.dart                                                                   | Dart       |        226 |          0 |          5 |        231 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/show_more_cards.dart                                                                      | Dart       |         42 |          0 |          2 |         44 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/exploreDetails/widgets/title_review.dart                                                                         | Dart       |         70 |          3 |          4 |         77 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/feedback/scaffold.dart                                                                                           | Dart       |        102 |          0 |          6 |        108 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/all_views/hosting_all_views.dart                                                                         | Dart       |         86 |          0 |          6 |         92 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/calendar/scaffold.dart                                                                                   | Dart       |        315 |         36 |         27 |        378 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/choose_cancellation_policy/scaffold.dart                                                                 | Dart       |        208 |          7 |          4 |        219 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/house_rules/logic.dart                                                                                   | Dart       |         62 |          0 |          6 |         68 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/house_rules/scaffold.dart                                                                                | Dart       |        377 |          9 |         21 |        407 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/inbox/empty_message.dart                                                                                 | Dart       |         27 |          0 |          3 |         30 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/inbox/scaffold.dart                                                                                      | Dart       |         25 |          0 |          4 |         29 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/insights/scaffold.dart                                                                                   | Dart       |         50 |          0 |          6 |         56 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/insights/tabs.dart                                                                                       | Dart       |         53 |          7 |          3 |         63 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/insights/widgets/cleanining.dart                                                                         | Dart       |          0 |          0 |          1 |          1 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/insights/widgets/opportunities.dart                                                                      | Dart       |        110 |          0 |          4 |        114 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/insights/widgets/stats.dart                                                                              | Dart       |         73 |          0 |          3 |         76 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/instant_booking/scaffold.dart                                                                            | Dart       |        286 |          2 |         11 |        299 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/additional_charges.dart                                 | Dart       |        182 |         11 |          8 |        201 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings/availablity_settings.dart          | Dart       |        207 |          6 |         12 |        225 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings/logic.dart                         | Dart       |         30 |          4 |          7 |         41 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings/widgets/advance_notice.dart        | Dart       |         94 |          0 |          5 |         99 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings/widgets/availability_window.dart   | Dart       |         90 |         10 |          5 |        105 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings/widgets/preparation_time.dart      | Dart       |         62 |          0 |          5 |         67 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings/widgets/same_day_cut_off_time.dart | Dart       |         75 |          1 |          6 |         82 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/check_in_settings.dart                                  | Dart       |         82 |          2 |          4 |         88 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/guest_requiremnets.dart                                 | Dart       |         88 |          2 |          6 |         96 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/listing_status.dart                                     | Dart       |        123 |          0 |          3 |        126 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/local_laws.dart                                         | Dart       |         50 |          0 |          3 |         53 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/nightly_price.dart                                      | Dart       |         81 |          1 |          5 |         87 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/booking_settings/trip_length.dart                                        | Dart       |        168 |          4 |          7 |        179 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/controller.dart                                                          | Dart       |          2 |          0 |          2 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/amenities.dart                                            | Dart       |        244 |          4 |         14 |        262 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/description.dart                                          | Dart       |         87 |          0 |          6 |         93 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/directions.dart                                           | Dart       |         75 |          0 |          7 |         82 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/edit_rooms_beds.dart                                      | Dart       |        256 |          0 |          7 |        263 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/eidt_images.dart                                          | Dart       |        140 |          1 |          9 |        150 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/eidt_location.dart                                        | Dart       |        102 |          0 |          8 |        110 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/house_manual.dart                                         | Dart       |         75 |          0 |          6 |         81 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/scenic_views.dart                                         | Dart       |        306 |          0 |          7 |        313 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/title.dart                                                | Dart       |         74 |          0 |          6 |         80 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/listing_detail/wi_fi.dart                                                | Dart       |         86 |          0 |          7 |         93 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/scaffold.dart                                                            | Dart       |         86 |          0 |          6 |         92 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/tabs.dart                                                                | Dart       |         54 |          0 |          3 |         57 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/tabs/booking_settings.dart                                               | Dart       |        305 |          5 |         11 |        321 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/listing_status_booking_settings/tabs/listing_detail.dart                                                 | Dart       |        270 |         10 |         14 |        294 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/menu/scaffold.dart                                                                                       | Dart       |        218 |          0 |          5 |        223 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/menu/widgets/ad_list.dart                                                                                | Dart       |        152 |          0 |          5 |        157 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/notifications/empty_notifications.dart                                                                   | Dart       |         54 |          0 |          3 |         57 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/promote_listing/scaffold.dart                                                                            | Dart       |        266 |          0 |          9 |        275 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/set_up_your_callender/scaffold.dart                                                                      | Dart       |        213 |          0 |          4 |        217 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/hosting/today/scaffold.dart                                                                                      | Dart       |        251 |          1 |          5 |        257 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/image_view.dart/scaffold.dart                                                                                    | Dart       |         51 |          0 |          5 |         56 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/inbox/inbox.dart                                                                                                 | Dart       |        118 |          4 |         11 |        133 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/inbox/login_if_not_login.dart                                                                                    | Dart       |         62 |          0 |          4 |         66 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/inbox/model/chat_model.dart                                                                                      | Dart       |          0 |         16 |          2 |         18 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/list_your_space/empty_space.dart                                                                                 | Dart       |         56 |          0 |          3 |         59 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/list_your_space/if_not_login_space.dart                                                                          | Dart       |         63 |          0 |          4 |         67 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/list_your_space/list_your_space.dart                                                                             | Dart       |        128 |          0 |          4 |        132 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/add_some_photos.dart                                                                             | Dart       |          0 |         85 |          4 |         89 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/logic.dart                                                                                       | Dart       |        107 |          0 |         11 |        118 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen1.dart                                                                                     | Dart       |        137 |          1 |          7 |        145 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen10.dart                                                                                    | Dart       |        105 |          1 |          7 |        113 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen11.dart                                                                                    | Dart       |         69 |          0 |          5 |         74 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen12.dart                                                                                    | Dart       |        176 |          0 |          6 |        182 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen13.dart                                                                                    | Dart       |         81 |          0 |          5 |         86 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen14.dart                                                                                    | Dart       |         56 |          0 |          5 |         61 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen15.dart                                                                                    | Dart       |        175 |          2 |          7 |        184 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen16.dart                                                                                    | Dart       |        186 |          4 |          5 |        195 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen17.dart                                                                                    | Dart       |         93 |          0 |          7 |        100 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen18.dart                                                                                    | Dart       |        124 |          0 |          6 |        130 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen19.dart                                                                                    | Dart       |        176 |          1 |          5 |        182 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen2.dart                                                                                     | Dart       |         53 |          0 |          4 |         57 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen20.dart                                                                                    | Dart       |         74 |          0 |          4 |         78 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen3.dart                                                                                     | Dart       |        539 |         11 |         25 |        575 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/listing_posting/screen4.dart                                                                                     | Dart       |        166 |          3 |          8 |        177 |
